n,Site_ID,Unit,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom,Burn,Cattle_head,Goat_head,Sheep_head,LSU_head,Ligcell,W_kg,Days,npastures,d_headha,Gdays,ANPPmax_gm2,Sk_gm2,Ddays,Edays,S0_gm2,Fdays,Cg_gheadday,Se_gm2,g_ggday,Lg_gm2,Sg_gm2,Sf_gm2,Lo_gm2,ANPPt_est,BNPPt_est,PDSOCt,DDSOCt,SOCeq_gm2,SOCeq_tha
10,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3735484776077, -30.8820930296107)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.8369269494698,825.3743632771886,189.12199999999996,0,82.53743632771886,0,20091.504798213347,82.53743632771886,0.011953892415487034,186.5960173704658,633.2439755149779,633.2439755149779,86.76445454014552,1138.7829736019637,375.19506803591304,118.44700806047615,11.071099112379757,7133.590598629113,71.33590598629112
11,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3696631502657, -30.8813159641423)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.8369269494698,825.3743632771886,189.12199999999996,0,82.53743632771886,0,20091.504798213347,82.53743632771886,0.011953892415487034,186.5960173704658,633.2439755149779,633.2439755149779,86.76445454014552,1138.7829736019637,375.19506803591304,118.44700806047615,11.071099112379757,7133.590598629113,71.33590598629112
12,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.4,0.4,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3704402157341, -30.8813159641423)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.9209044443204,825.4676716048004,189.12199999999996,0,82.54676716048004,0,20091.504798213347,82.54676716048004,0.011952541184241876,186.5960173704658,633.3380629769465,633.3380629769465,86.76445454014552,1138.8770610639324,375.18365265103137,118.45467752016502,11.071099112379757,7134.623373201962,71.34623373201961
13,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.39,0.39,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3712172812025, -30.8813159641423)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.9628931917456,825.5143257686062,189.12199999999996,0,82.55143257686063,0,20091.504798213347,82.55143257686063,0.011951865683167091,186.5960173704658,633.3851065751475,633.3851065751475,86.76445454014552,1138.9241046621332,375.17794588256515,118.45851238217438,11.071099112379757,7135.139834049967,71.35139834049967
14,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3719943466709, -30.8813159641423)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.7949382020446,825.3277091133829,189.12199999999996,0,82.53277091133829,0,20091.504798213347,82.53277091133829,0.011954568145683308,186.5960173704658,633.1969316511586,633.1969316511586,86.76445454014552,1138.7359297381445,375.20077665252035,118.44317346282165,11.071099112379757,7133.074284893059,71.33074284893058
15,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.4,0.4,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3727714121393, -30.8813159641423)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.9209044443204,825.4676716048004,189.12199999999996,0,82.54676716048004,0,20091.504798213347,82.54676716048004,0.011952541184241876,186.5960173704658,633.3380629769465,633.3380629769465,86.76445454014552,1138.8770610639324,375.18365265103137,118.45467752016502,11.071099112379757,7134.623373201962,71.34623373201961
16,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3735484776077, -30.8813159641423)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.7949382020446,825.3277091133829,189.12199999999996,0,82.53277091133829,0,20091.504798213347,82.53277091133829,0.011954568145683308,186.5960173704658,633.1969316511586,633.1969316511586,86.76445454014552,1138.7359297381445,375.20077665252035,118.44317346282165,11.071099112379757,7133.074284893059,71.33074284893058
17,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3704402157341, -30.8805388986739)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.8369269494698,825.3743632771886,189.12199999999996,0,82.53743632771886,0,20091.504798213347,82.53743632771886,0.011953892415487034,186.5960173704658,633.2439755149779,633.2439755149779,86.76445454014552,1138.7829736019637,375.19506803591304,118.44700806047615,11.071099112379757,7133.590598629113,71.33590598629112
18,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.45,0.45,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3712172812025, -30.8805388986739)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.7109607071941,825.2344007857712,189.12199999999996,0,82.52344007857712,0,20091.504798213347,82.52344007857712,0.01195591983528802,186.5960173704658,633.1028436577191,633.1028436577191,86.76445454014552,1138.6418417447048,375.21219573454715,118.43550453195479,11.071099112379757,7132.041804493663,71.32041804493663
19,TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.41,0.41,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3719943466709, -30.8805388986739)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.8789156968951,825.4210174409945,189.12199999999996,0,82.54210174409945,0,20091.504798213347,82.54210174409945,0.011953216761677541,186.5960173704658,633.2910192902319,633.2910192902319,86.76445454014552,1138.8300173772177,375.18936003544866,118.45084274626144,11.071099112379757,7134.10696139688,71.3410696139688
