Site_ID,Unit,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom,Burn,Cattle_head,Goat_head,Sheep_head,LSU_head,Ligcell,W_kg,Days,npastures,d_headha,Gdays,ANPPmax_gm2,Sk_gm2,Ddays,Edays,S0_gm2,Fdays,Cg_gheadday,Se_gm2,g_ggday,Lg_gm2,Sg_gm2,Sf_gm2,Lo_gm2,ANPPt_est,BNPPt_est,PDSOCt,DDSOCt,SOCeq_gm2,SOCeq_tha
TSTALTS001,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3716, -30.8815166666667)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,742.7949382020446,825.3277091133829,189.12199999999996,0,82.53277091133829,0,20091.504798213347,82.53277091133829,0.011954568145683308,186.5960173704658,633.1969316511586,633.1969316511586,86.76445454014552,1138.3401809488428,375.0703818443584,118.42263628053614,11.071099112379757,7131.943279383752,71.31943279383752
TSTALTS002,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.5,0.5,756,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3379, -30.86855)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,188.00759999999994,739.5939011830754,821.7710013145282,188.00759999999994,0,82.17710013145283,0,20091.504798213347,82.17710013145283,0.012006308722666038,185.49650170461175,630.4707967159331,630.4707967159331,87.31421237307254,1135.614046013617,376.2439510321606,118.30550176900269,11.048833920146214,7246.313724489002,72.46313724489002
TSTALTS003,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.48,0.48,757,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3507333333333, -30.8777833333333)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,185.771,751.2046965378573,834.67188504206365,185.771,0,83.46718850420638,0,20091.504798213347,83.46718850420638,0.011820736409037427,183.28977455255765,645.1842134911005,645.1842134911006,88.41757594909959,1150.3274627887847,377.9603501239222,120.00083391427634,11.004147695317116,7417.150387933605,74.17150387933606
TSTALTS004,TSTALTS,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.43,0.43,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.36005, -30.8923166666667)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,186.136,754.9772913568049,838.8636570631165,186.136,0,83.88636570631166,0,20091.504798213347,83.88636570631165,0.011761668607338738,183.64989947900844,649.1369936651627,649.1369936651627,88.2375134858742,1154.2802429628468,377.50603381412714,120.33607977217537,11.011440225077747,7370.916832008482,73.70916832008481
TSTAUTS001,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.44,0.44,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3087338174377, -30.8526674133232)",0.22023290115933225,1843.2913901455624,814.9603485310571,705.7675840531773,1995.3641834039859,0.3,475,365,1,0.5381369035857756,187.13159999999993,731.39396419744,812.6599602193778,187.13159999999993,0,81.26599602193778,0,20091.504798213347,81.26599602193778,0.01330443323129958,202.3263150343248,602.7854718734523,602.7854718734523,96.15548077676704,1107.9287211711362,370.7505472489878,116.7864943871366,12.08851273034922,7381.8021319352165,73.81802131935217
TSTAUTS002,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.46,0.46,765,13.7,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3174693183962, -30.8679742386352)",0.22023290115933225,1843.2913901455624,814.9603485310571,705.7675840531773,1995.3641834039859,0.3,475,365,1,0.5381369035857756,194.3794,708.8927550385376,787.6586167094863,194.3794,0,78.76586167094864,0,20091.504798213347,78.76586167094864,0.013726733830015457,210.1626220295399,571.3993213174268,571.3993213174268,92.2373272791595,1076.542570615111,362.990014802383,112.46646489084264,12.247197947002327,6672.64439320974,66.7264439320974
TSTAUTS003,TSTAUTS,Upper Tsitsana,Tsitsa,4807.845280002913,0.7712211188183044,3707.91181594915,0.22023290115933225,0,0.49,0.49,744,15.1,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3074720974843, -30.8537541283206)",0.22023290115933225,1843.2913901455624,814.9603485310571,705.7675840531773,1995.3641834039859,0.3,475,365,1,0.5381369035857756,187.13159999999993,731.187231148089,812.43025683121,187.13159999999993,0,81.243025683121,0,20091.504798213347,81.243025683121,0.013308194875287092,202.3263150343248,602.5526377157934,602.5526377157934,96.15548077676704,1107.6958870134774,370.7774355851222,116.7662191839679,12.08851273034922,7379.06275652525,73.79062756525249
TSTABTL001,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.45,0.45,770,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.42906667, -30.87473333)",0.17667757931932349,3799.667079144698,1841.6360580384687,1552.531650918885,4139.083850040433,0.3,475,365,1,0.6243535251799682,189.55999999999995,746.8942953209222,829.8825503565802,189.55999999999995,0,82.98825503565803,0,20091.504798213347,82.98825503565803,0.0151156351480638,237.78789021049505,582.1820073111351,582.1820073111351,110.03773860131164,1087.325256608819,356.4201966133228,114.7295871354536,14.086937966878173,7018.111983314149,70.1811198331415
TSTABTL002,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0.10000000149011612,0.45,0.45,780,15.5,38.140625,16.54329490661621,13.342466354370115,"c(28.4407, -30.92866667)",0.17667757931932349,3683.2382246457364,1597.585151308767,1288.481300122,3971.844869788813,0.3,475,365,1,0.5991266269941337,187.45,767.6531595637207,852.9479550708007,187.45,0,85.29479550708008,0,20091.504798213347,85.29479550708007,0.014112649464047115,225.6402288660578,618.2091788343582,618.2091788343583,106.86162346003887,1123.3524281320424,361.6414593727152,119.73281331877989,13.466325019206918,7237.074852318909,72.37074852318909
TSTABTL003,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0.10000000149011612,0.44,0.44,767,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.4082885268276, -30.87331411619)",0.17667757931932349,3527.792965132112,1886.9395077334575,1615.8653420127487,3878.0734501067327,0.3,475,365,1,0.5849818262215991,189.34099999999995,744.845888634334,827.6065429270377,189.34099999999995,0,82.76065429270378,0,20091.504798213347,82.76065429270378,0.014201392278546826,222.5356046149809,596.6777127193474,596.6777127193474,103.22746201578884,1101.8209620170314,362.1053730867333,117.6146548357109,13.193404198546174,7165.290516895367,71.65290516895367
