n,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom,Burn,Cattle_head,Goat_head,Sheep_head,LSU_head,Ligcell,W_kg,Days,npastures,d_headha,Gdays,ANPPmax_gm2,Sk_gm2,Ddays,Edays,S0_gm2,Fdays,Cg_gheadday,Se_gm2,g_ggday,Lg_gm2,Sg_gm2,Sf_gm2,Lo_gm2,ANPPt_est,BNPPt_est,PDSOCt,DDSOCt,SOCeq_gm2,SOCeq_tha
11,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.42,0.42,833,11.6,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3919706653656, -30.8409074740559)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,201.00659999999996,697.463854899207,774.9598387768967,201.00659999999996,0,77.49598387768968,0,20091.504798213347,77.49598387768968,0.012731545362000461,198.32188230442927,572.765762489078,572.765762489078,80.90152207316379,NA,NA,NA,11.308547877292519,NA,NA
12,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.699999988079071,0.38,0.38,762,13.8,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3194193787484, -30.8819999394777)",0.254642860254362,2123.8131877409523,938.9853090777692,813.1750142737015,2299.0292200760996,0.3,475,365,1,0.5075110647518959,193.87439999999998,709.8141844317065,788.6824271463405,193.87439999999998,0,78.86824271463405,0,20091.504798213347,78.86824271463405,0.012928728524487695,197.68715319454898,585.6637622132672,585.6637622132672,87.24548651784123,NA,NA,NA,11.539771908351803,NA,NA
13,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.38,0.38,764,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3735432144161, -30.8767857946302)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.12199999999996,743.0048819391709,825.5609799324121,189.12199999999996,0,82.55609799324122,0,20091.504798213347,82.55609799324122,0.011951190258440242,186.5960173704658,633.4321500848613,633.4321500848613,86.76445454014552,NA,NA,NA,11.071099112379757,NA,NA
14,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.47,0.47,762,15.4,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3694713445691, -30.8899213732164)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,186.74159999999998,752.0754301599098,835.6393668443443,186.74159999999998,0,83.56393668443444,0,20091.504798213347,83.56393668443444,0.01180705066394324,184.24741086382645,645.426148411587,645.426148411587,87.9387577934652,NA,NA,NA,11.02353983062031,NA,NA
15,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.20000000298023224,0.39,0.39,762,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3349265888406, -30.9038232399733)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,188.97599999999997,741.5659181167855,823.9621312408727,188.97599999999997,0,82.39621312408728,0,20091.504798213347,82.39621312408728,0.011974380820460696,186.45196739988552,631.9332900445261,631.9332900445261,86.83647952543565,NA,NA,NA,11.068182100475509,NA,NA
16,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,761,14.9,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3623115362854, -30.8686390679907)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,189.41459999999998,737.968442044873,819.9649356054144,189.41459999999998,0,81.99649356054145,0,20091.504798213347,81.99649356054147,0.012032753978475702,186.8847092978069,627.5613073121019,627.5613073121019,86.62010857647496,NA,NA,NA,11.076945123908416,NA,NA
17,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,773,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3685337630614, -30.9274854501738)",0.254642860254362,1623.303693593391,780.8209126524879,536.1521519659225,1755.001000055232,0.3,475,365,1,0.38741674894814543,186.939,762.8297907820278,847.5886564244753,186.939,0,84.75886564244753,0,20091.504798213347,84.75886564244753,0.009183446960269055,145.5093072051083,698.3914614143446,698.3914614143446,69.29943123224365,NA,NA,NA,8.699753906712754,NA,NA
18,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.39,0.39,760,14,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.3068509675636, -30.8797735663438)",0.254642860254362,2123.8131877409523,938.9853090777692,813.1750142737015,2299.0292200760996,0.3,475,365,1,0.5075110647518959,193.09999999999997,713.6467139258237,792.9407932509152,193.09999999999997,0,79.29407932509153,0,20091.504798213347,79.29407932509153,0.012859296784069586,196.89752376728134,590.6008912298585,590.6008912298585,87.64030123147508,NA,NA,NA,11.523781912449635,NA,NA
19,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.47,0.47,758,15.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3485365567098, -30.8879009461944)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,187.0364,746.5258518606132,829.4731687340146,187.0364,0,82.94731687340146,0,20091.504798213347,82.94731687340146,0.011894822777902868,184.53827340716254,638.9827099736565,638.9827099736565,87.79332652179713,NA,NA,NA,11.029429797122868,NA,NA
20,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.6000000238418579,0.41,0.41,833,11.6,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3940645816139, -30.8377576054701)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,201.00659999999996,697.5032789404456,775.0036432671618,201.00659999999996,0,77.50036432671618,0,20091.504798213347,77.50036432671618,0.012730825753957694,198.32188230442927,572.8099053943849,572.8099053943849,80.90152207316379,NA,NA,NA,11.308547877292519,NA,NA
21,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.41,0.41,757,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3343739298105, -30.8778565697867)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,188.61099999999996,737.9855231079598,819.9839145643998,188.61099999999996,0,81.99839145643999,0,20091.504798213347,81.99839145643999,0.012032475474056064,186.09184247343472,628.203524450771,628.203524450771,87.01654198866105,NA,NA,NA,11.06088957071488,NA,NA
22,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.4,0.4,760,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3666805610581, -30.8529531743939)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,188.29959999999994,742.8213151753987,825.357016861554,188.29959999999994,0,82.5357016861554,0,20091.504798213347,82.5357016861554,0.011954143648810377,185.78460164577234,633.8632101564474,633.8632101564474,87.17016240249222,NA,NA,NA,11.054667943954716,NA,NA
23,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.46,0.46,752,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3439256371294, -30.865579908162)",0.254642860254362,2023.6429492385678,1082.4024732192602,926.9065783061365,2224.5738543911075,0.3,475,365,1,0.4910750309749823,185.40599999999998,747.7234020360904,830.8037800401005,185.40599999999998,0,83.08037800401006,0,20091.504798213347,83.08037800401006,0.011875772087412025,182.9296496261069,641.555370640402,641.555370640402,88.59763841232497,NA,NA,NA,10.99685516555649,NA,NA
