n,Site_ID,Unit,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom
18,TSTABTL005,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.46,0.46,782,15.4,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4469521693429, -30.9159228231394)"
1,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.42,0.42,781,15.2,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4114891808229, -30.9262503059338)"
2,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,781,15.2,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4122664044543, -30.9262503059338)"
3,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.48,0.48,781,15.2,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4130436280857, -30.9262503059338)"
4,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.46,0.46,781,15.2,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4107119571915, -30.9254730823024)"
5,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,781,15.2,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4114891808229, -30.9254730823024)"
6,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.5,0.5,781,15.2,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4122664044543, -30.9254730823024)"
7,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.52,0.52,781,15.2,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4130436280857, -30.9254730823024)"
8,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,781,15.2,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.413820851717, -30.9254730823024)"
9,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.49,0.49,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4107119571915, -30.9246958586711)"
10,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4114891808229, -30.9246958586711)"
11,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4122664044543, -30.9246958586711)"
12,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.48,0.48,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4130436280857, -30.9246958586711)"
13,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.45,0.45,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.413820851717, -30.9246958586711)"
14,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.5,0.5,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4107119571915, -30.9239186350397)"
15,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.48,0.48,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4114891808229, -30.9239186350397)"
16,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4122664044543, -30.9239186350397)"
17,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.42,0.42,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4130436280857, -30.9239186350397)"
18,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.44,0.44,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.413820851717, -30.9239186350397)"
19,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.5,0.5,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4114891808229, -30.9231414114083)"
20,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.48,0.48,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4122664044543, -30.9231414114083)"
21,TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4130436280857, -30.9231414114083)"
1,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.4,0.4,772,15.2,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4405600651576, -30.8802031461011)"
2,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.39,0.39,772,15.2,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4413370975662, -30.8802031461011)"
3,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.4,0.4,777,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4421141299749, -30.8802031461011)"
4,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.4,0.4,777,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4428911623835, -30.8802031461011)"
5,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.43,0.43,772,15.2,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4397830327489, -30.8794261136924)"
6,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.42,0.42,772,15.2,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4405600651576, -30.8794261136924)"
7,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.46,0.46,772,15.2,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4413370975662, -30.8794261136924)"
8,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.42,0.42,777,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4421141299749, -30.8794261136924)"
9,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.4,0.4,777,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4428911623835, -30.8794261136924)"
10,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.39,0.39,777,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4436681947921, -30.8794261136924)"
11,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.42,0.42,772,15.2,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4397830327489, -30.8786490812838)"
12,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,772,15.2,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4405600651576, -30.8786490812838)"
13,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,772,15.2,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4413370975662, -30.8786490812838)"
14,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.42,0.42,777,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4421141299749, -30.8786490812838)"
15,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.4,0.4,777,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4428911623835, -30.8786490812838)"
16,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.42,0.42,777,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4436681947921, -30.8786490812838)"
17,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.45,0.45,772,15.2,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4405600651576, -30.8778720488751)"
18,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.39,0.39,772,15.2,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4413370975662, -30.8778720488752)"
19,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.38,0.38,777,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4421141299749, -30.8778720488751)"
20,TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.43,0.43,777,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4428911623835, -30.8778720488751)"
1,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.36,0.36,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3811292212997, -30.8790717737209)"
2,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.36,0.36,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3795751300734, -30.8782947281077)"
3,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.43,0.43,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3803521756866, -30.8782947281077)"
4,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.37,0.37,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3811292212997, -30.8782947281077)"
5,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.4,0.4,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3819062669129, -30.8782947281077)"
6,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.44,0.44,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3826833125261, -30.8782947281077)"
7,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3795751300735, -30.8775176824946)"
8,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.4,0.4,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3803521756866, -30.8775176824946)"
9,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.4,0.4,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3811292212998, -30.8775176824946)"
10,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.45,0.45,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3819062669129, -30.8775176824946)"
11,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3826833125261, -30.8775176824946)"
12,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.42,0.42,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3795751300735, -30.8767406368814)"
13,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.42,0.42,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3803521756866, -30.8767406368814)"
14,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.42,0.42,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3811292212998, -30.8767406368814)"
15,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3819062669129, -30.8767406368814)"
16,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.43,0.43,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3826833125261, -30.8767406368814)"
17,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3803521756866, -30.8759635912683)"
18,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3811292212998, -30.8759635912683)"
19,TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.39,0.39,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3819062669129, -30.8759635912683)"
1,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.38,0.38,772,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3899103418093, -30.9183597122033)"
2,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.39,0.39,772,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3906875416009, -30.9183597122033)"
3,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,772,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3914647413926, -30.9183597122033)"
4,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.44,0.44,774,15.4,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3922419411842, -30.9183597122033)"
6,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.4,0.4,772,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3899103418093, -30.9175825124116)"
7,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,772,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3906875416009, -30.9175825124116)"
8,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,772,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3914647413926, -30.9175825124116)"
9,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.42,0.42,774,15.4,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3922419411842, -30.9175825124116)"
10,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,772,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3891331420176, -30.91680531262)"
11,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.39,0.39,772,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3899103418093, -30.91680531262)"
12,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.38,0.38,772,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3906875416009, -30.91680531262)"
13,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.4,0.4,772,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3914647413926, -30.91680531262)"
14,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.37,0.37,774,15.4,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3922419411842, -30.91680531262)"
15,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.39,0.39,774,15.4,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3930191409759, -30.91680531262)"
16,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.39,0.39,772,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3899103418093, -30.9160281128283)"
17,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.4,0.4,772,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3906875416009, -30.9160281128283)"
18,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.43,0.43,772,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3914647413926, -30.9160281128283)"
19,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,776,15,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3922419411842, -30.9160281128283)"
20,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,772,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3906875416009, -30.9152509130367)"
21,TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0.10000000149011612,0.4,0.4,772,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3914647413926, -30.9152509130367)"
1,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.46,0.46,783,15.3,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4595529748941, -30.9096971926678)"
2,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.45,0.45,783,15.3,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4603301165719, -30.9096971926678)"
3,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.46,0.46,783,15.3,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4611072582496, -30.9096971926678)"
4,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.46,0.46,783,15.3,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4587758332164, -30.90892005099)"
5,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.49,0.49,783,15.3,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4595529748942, -30.90892005099)"
6,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.51,0.51,783,15.3,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4603301165719, -30.90892005099)"
7,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,783,15.3,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4611072582496, -30.90892005099)"
8,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.51,0.51,783,15.3,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4618843999273, -30.90892005099)"
9,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.45,0.45,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4587758332164, -30.9081429093123)"
10,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.44,0.44,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4595529748941, -30.9081429093123)"
11,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4603301165719, -30.9081429093123)"
12,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.5,0.5,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4611072582496, -30.9081429093123)"
13,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.5,0.5,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4618843999273, -30.9081429093123)"
14,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4587758332164, -30.9073657676346)"
15,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.49,0.49,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4595529748942, -30.9073657676346)"
16,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.45,0.45,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4603301165719, -30.9073657676346)"
17,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.45,0.45,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4611072582496, -30.9073657676346)"
18,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.48,0.48,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4618843999273, -30.9073657676346)"
19,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.46,0.46,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4595529748941, -30.9065886259569)"
20,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.46,0.46,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4603301165719, -30.9065886259569)"
21,TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.46,0.46,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4611072582496, -30.9065886259569)"
1,TSTABTL012,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.45,0.45,775,15.4,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4329495050287, -30.8904688622191)"
2,TSTABTL012,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.42,0.42,775,15.3,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4337265791211, -30.8904688622191)"
3,TSTABTL012,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,775,15.4,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.431395356844, -30.8896917881267)"
4,TSTABTL012,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.43,0.43,775,15.4,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4321724309364, -30.8896917881267)"
5,TSTABTL012,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,775,15.4,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4329495050287, -30.8896917881267)"
6,TSTABTL012,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.44,0.44,775,15.3,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4337265791211, -30.8896917881267)"
7,TSTABTL012,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.45,0.45,775,15.3,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.4345036532134, -30.8896917881267)"
8,TSTABTL012,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.4,0.4,775,15.4,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.431395356844, -30.8889147140344)"
