Site_ID,Unit,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom
TSTABTL004,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0.10000000149011612,0.43,0.43,774,15.4,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4026, -30.9175166666667)"
TSTABTL005,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.48,0.48,783,15.3,38.140625,16.54329490661621,13.342466354370117,"c(28.44591667, -30.91723333)"
TSTABTL006,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,777,15.3,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.4123333333333, -30.92465)"
TSTABTL007,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.39,0.39,777,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.44176667, -30.8791)"
TSTABTL009,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.41,0.41,767,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.38127744189, -30.8773178951881)"
TSTABTL010,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.37,0.37,772,15.5,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.39105, -30.91688333)"
TSTABTL011,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,784,15,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.46035, -30.90818333)"
TSTABTL012,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.43,0.43,775,15.4,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.43321667, -30.88885)"
TSTABTL014,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0,0.47,0.47,774,15.5,39.34626770019531,19.07048797607422,16.076757431030273,"c(28.43071667, -30.90175)"
TSTABTL015,TSTABTL,Batlokoa,Tsitsa,9656.994935572598,0.6864859492632991,6629.391335377427,0.17667757931932349,0.10000000149011612,0.48,0.48,774,15.4,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3989, -30.9193166666667)"
