n,Association,Landscape,Area_ha,Elig_prop,Elig_ha,Fire_elig,fire,sand,bulkdens,map,mat,cattle,goat,sheep,geom
27,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.42,0.42,768,15.1,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3719652699188, -30.9032386419478)"
28,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.49,0.49,762,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3565721827912, -30.9050046532933)"
29,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.46,0.46,757,15.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3454932297226, -30.8777556244295)"
30,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.45,0.45,758,15.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3532382252038, -30.8865183438713)"
31,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.10000000149011612,0.45,0.45,783,13.5,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3968390522666, -30.8568224737479)"
32,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.699999988079071,0.41,0.41,760,14,38.33924102783203,16.95063591003418,14.679498672485352,"c(28.301584704908, -30.8755892059825)"
33,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,762,15.2,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3664278042443, -30.8822328775742)"
34,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.48,0.48,754,15.3,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3643576514598, -30.8576851761571)"
35,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,772,14.8,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3836199345686, -30.9141252690508)"
36,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0.4000000059604645,0.41,0.41,761,14.4,36.53096008300781,19.539613723754883,16.732589721679688,"c(28.3687626075941, -30.8368733443494)"
37,Lower Tsitsana,Tsitsa,5539.528511269144,0.8177605843209146,4530.008072237821,0.254642860254362,0,0.44,0.44,771,15.2,29.304004669189453,14.095439910888672,9.67866039276123,"c(28.3702181461364, -30.9201295693075)"
